PLAYER NAME,DATE OF BIRTH,GENDER,DATE SIGNED UP,CURRENT TEAM,TEAM LOCATION,TEAM MANAGER,SALARY,START OF CONTRACT,CONTRACT DURATION,GAMES PLAYED THIS YEAR ,GAMES WON,FG1,FG2,FG3,FG4,FG5
NB009,24/04/2001,M,01/01/2017,REDNORTH,LIVERPOOL,REDMAN,50,01/01/2019,5,22,11,W,W,L,W,D
OB001,31/07/1997,M,01/01/2017,REDNORTH,LIVERPOOL,REDMAN,42,01/12/2021,3,25,17,W,D,D,W,W
OB022,31/08/1995,M,31/03/2014,REDSOUTH,BRIGHTON,SOUTHMAN,33,01/06/2021,4,22,18,W,W,W,W,W
OG005,22/07/1991,F,01/01/2011,LIGHTGREEN,COVENTRY,BROWN,12,01/01/2022,5,18,15,D,D,W,W,L
NG001,17/04/1997,F,17/04/2015,DARK GREEN,LEEDS,GREENBOX,14,01/01/2020,5,14,12,D,L,L,W,D
NG004,05/08/1999,F,01/10/2018,LIGHTRED,OXFORD,PINKMAN,15,01/12/2020,3,17,17,L,L,L,L,D
NB004,01/01/2001,M,15/11/2018,NAVYBLUE,LONDON,POSHMAN,28,01/01/2021,3,16,16,D,W,W,L,L
NB007,12/09/1998,M,15/12/2018,LIGHTBLUE,PRESTON,GREY,42,01/02/2022,3,22,17,L,W,W,W,D
OG110,11/12/1996,F,01/07/2018,PINKTEAM,BRISTOL,WESTMAN,17,01/09/2020,3,24,18,W,W,L,L,L
OB099,11/11/1999,M,01/11/2017,LIGHTBLUE,PRESTON,GREY,38,01/12/2021,4,21,11,W,D,W,W,W
NB212,01/01/2000,M,11/11/2020,DARK KNIGHTS,NEWTOWN,BLACK,55,01/01/2021,3,22,12,W,W,W,W,W
OB124,17/09/1995,M,15/06/2017,DARK KNIGHTS,NEWTOWN,BLACK,52,01/01/2020,4,24,13,D,D,D,L,W
NG032,13/11/1992,F,11/01/2014,PINKTEAM,BRISTOL,WESTMAN,21,01/10/2022,4,25,12,L,L,L,D,D
OB333,04/01/1999,M,01/06/2020,REDSOUTH,BRIGHTON,SOUTHMAN,38,01/12/2022,2,18,17,L,L,W,W,D
OB232,01/09/1998,M,12/12/2016,REDNORTH,LIVERPOOL,REDMAN,44,01/12/2022,2,19,19,D,D,D,W,L
NB311,22/11/1997,M,04/07/2018,LIGHTBLUE,PRESTON,GREY,59,01/12/2020,3,22,22,D,L,L,D,W
NG210,23/02/1999,F,01/05/2019,GOLDWINGS,LONDON,BRIGHTMAN,21,01/06/2020,3,20,14,W,W,W,W,D
NG222,01/01/2002,F,12/12/2019,DARK GREEN,LEEDS,GREENBOX,14,01/01/2022,2,21,12,W,D,W,W,D
NB322,26/07/2000,M,01/10/2018,NAVYBLUE,LONDON,POSHMAN,29,01/01/2022,2,16,11,W,L,L,W,W
NB320,27/10/1999,M,01/06/2016,LIGHTBLUE,PRESTON,GREY,32,01/07/2020,3,17,16,W,L,W,L,W
NB337,12/05/1998,M,01/01/2015,LIGHTGREEN,COVENTRY,BROWN,27,01/12/2020,3,18,16,D,L,L,W,W
